#(id,from,to,speed,planTime)
(10000, 27, 92, 4, 96)
(10001, 99, 3, 4, 5)
(10002, 49, 91, 8, 78)
(10003, 39, 84, 8, 3)
(10004, 50, 93, 6, 70)
(10005, 81, 37, 4, 64)
(10006, 22, 90, 4, 6)
(10007, 14, 90, 4, 44)
(10008, 31, 98, 6, 22)
(10009, 26, 91, 8, 83)
(10010, 95, 40, 6, 86)
(10011, 19, 62, 4, 77)
(10012, 78, 12, 4, 61)
(10013, 53, 8, 8, 91)
(10014, 84, 40, 6, 48)
(10015, 52, 8, 8, 29)
(10016, 15, 90, 4, 48)
(10017, 25, 90, 8, 59)
(10018, 89, 3, 8, 8)
(10019, 84, 20, 6, 47)
(10020, 63, 20, 8, 89)
(10021, 54, 10, 6, 33)
(10022, 95, 10, 4, 43)
(10023, 84, 20, 4, 50)
(10024, 65, 20, 4, 38)
(10025, 8, 83, 8, 65)
(10026, 17, 92, 6, 65)
(10027, 99, 24, 4, 76)
(10028, 11, 87, 4, 40)
(10029, 70, 2, 6, 23)
(10030, 75, 10, 6, 61)
(10031, 95, 10, 6, 67)
(10032, 30, 91, 8, 33)
(10033, 15, 100, 6, 36)
(10034, 70, 1, 8, 52)
(10035, 77, 22, 4, 69)
(10036, 92, 27, 6, 69)
(10037, 26, 81, 4, 35)
(10038, 74, 10, 4, 59)
(10039, 15, 100, 4, 70)
(10040, 99, 4, 6, 55)
(10041, 24, 80, 6, 5)
(10042, 68, 13, 6, 19)
(10043, 61, 16, 4, 43)
(10044, 63, 8, 6, 75)
(10045, 81, 9, 8, 29)
(10046, 69, 13, 4, 12)
(10047, 92, 8, 6, 19)
(10048, 70, 11, 6, 62)
(10049, 90, 35, 4, 35)
(10050, 62, 17, 8, 2)
(10051, 3, 70, 4, 26)
(10052, 33, 90, 6, 74)
(10053, 86, 21, 6, 43)
(10054, 47, 92, 4, 36)
(10055, 14, 89, 4, 7)
(10056, 96, 41, 8, 84)
(10057, 82, 39, 8, 56)
(10058, 82, 18, 4, 95)
(10059, 30, 94, 8, 72)
(10060, 85, 30, 8, 27)
(10061, 40, 85, 4, 50)
(10062, 11, 79, 4, 3)
(10063, 12, 98, 6, 38)
(10064, 10, 55, 8, 42)
(10065, 28, 81, 8, 68)
(10066, 74, 30, 4, 1)
(10067, 72, 7, 8, 38)
(10068, 14, 99, 4, 59)
(10069, 92, 50, 8, 91)
(10070, 79, 22, 4, 23)
(10071, 69, 3, 4, 56)
(10072, 94, 30, 8, 61)
(10073, 78, 23, 6, 49)
(10074, 51, 8, 4, 39)
(10075, 89, 13, 8, 20)
(10076, 9, 52, 8, 58)
(10077, 81, 26, 6, 2)
(10078, 67, 11, 8, 20)
(10079, 97, 1, 4, 16)
(10080, 77, 21, 6, 93)
(10081, 84, 20, 8, 4)
(10082, 81, 40, 6, 75)
(10083, 21, 77, 4, 97)
(10084, 41, 100, 4, 11)
(10085, 63, 8, 6, 20)
(10086, 58, 1, 6, 96)
(10087, 22, 88, 4, 25)
(10088, 87, 32, 6, 76)
(10089, 72, 7, 4, 24)
(10090, 40, 83, 4, 72)
(10091, 74, 20, 4, 51)
(10092, 97, 42, 8, 40)
(10093, 60, 2, 8, 31)
(10094, 47, 91, 6, 53)
(10095, 54, 10, 6, 20)
(10096, 48, 92, 4, 73)
(10097, 30, 95, 8, 22)
(10098, 95, 50, 4, 86)
(10099, 36, 81, 6, 94)
(10100, 98, 43, 4, 37)
(10101, 5, 90, 4, 34)
(10102, 24, 89, 6, 33)
(10103, 8, 91, 4, 53)
(10104, 18, 93, 4, 73)
(10105, 42, 98, 6, 62)
(10106, 26, 71, 6, 46)
(10107, 54, 10, 6, 51)
(10108, 72, 28, 4, 61)
(10109, 31, 89, 4, 65)
(10110, 5, 80, 4, 34)
(10111, 64, 10, 6, 48)
(10112, 46, 91, 8, 93)
(10113, 15, 70, 6, 97)
(10114, 46, 91, 8, 73)
(10115, 25, 100, 6, 62)
(10116, 55, 10, 8, 83)
(10117, 4, 80, 8, 11)
(10118, 23, 90, 8, 58)
(10119, 94, 39, 6, 99)
(10120, 6, 61, 4, 54)
(10121, 56, 1, 6, 89)
(10122, 18, 72, 6, 54)
(10123, 9, 54, 4, 46)
(10124, 3, 90, 6, 19)
(10125, 27, 82, 4, 40)
(10126, 74, 19, 8, 83)
(10127, 35, 100, 8, 28)
(10128, 34, 99, 4, 95)
(10129, 78, 13, 4, 12)
(10130, 39, 81, 4, 28)
(10131, 42, 99, 4, 56)
(10132, 16, 81, 4, 98)
(10133, 62, 19, 8, 4)
(10134, 94, 19, 8, 46)
(10135, 29, 91, 4, 93)
(10136, 81, 30, 4, 37)
(10137, 94, 50, 6, 92)
(10138, 66, 11, 6, 24)
(10139, 76, 21, 6, 73)
(10140, 26, 81, 4, 38)
(10141, 80, 12, 8, 57)
(10142, 73, 20, 6, 12)
(10143, 31, 97, 6, 32)
(10144, 24, 80, 4, 87)
(10145, 40, 84, 8, 12)
(10146, 13, 88, 4, 73)
(10147, 24, 79, 4, 64)
(10148, 77, 2, 6, 39)
(10149, 78, 12, 4, 7)
(10150, 80, 25, 8, 46)
(10151, 46, 91, 6, 42)
(10152, 92, 30, 6, 78)
(10153, 99, 14, 4, 8)
(10154, 71, 7, 6, 64)
(10155, 59, 2, 8, 1)
(10156, 62, 10, 4, 91)
(10157, 27, 81, 8, 43)
(10158, 4, 100, 4, 12)
(10159, 58, 1, 4, 30)
(10160, 41, 98, 8, 42)
(10161, 5, 100, 8, 65)
(10162, 69, 14, 4, 52)
(10163, 74, 10, 4, 45)
(10164, 55, 10, 6, 85)
(10165, 74, 9, 4, 68)
(10166, 41, 100, 4, 91)
