#(id,length,speed,channel,from,to,isDuplex)
(5015, 20, 8, 1, 404, 1809, 1)
(5018, 36, 8, 4, 599, 472, 1)
(5024, 36, 12, 1, 1260, 1157, 1)
(5030, 24, 15, 4, 678, 983, 1)
(5031, 30, 15, 1, 599, 1459, 1)
(5036, 30, 15, 2, 229, 1299, 1)
(5059, 40, 15, 3, 771, 1319, 1)
(5073, 20, 12, 1, 1767, 1541, 1)
(5074, 36, 12, 3, 1949, 689, 1)
(5077, 36, 8, 2, 983, 1293, 0)
(5084, 24, 15, 3, 1433, 607, 1)
(5091, 20, 15, 4, 1003, 482, 1)
(5130, 36, 8, 1, 1991, 1439, 1)
(5146, 20, 10, 4, 540, 1366, 1)
(5150, 24, 15, 2, 1459, 1937, 1)
(5152, 20, 15, 1, 1833, 870, 1)
(5159, 24, 10, 3, 1876, 1796, 1)
(5163, 36, 10, 2, 315, 1626, 1)
(5164, 24, 8, 4, 136, 1502, 1)
(5169, 24, 8, 2, 1628, 244, 1)
(5173, 20, 10, 4, 391, 416, 1)
(5177, 20, 8, 2, 1230, 1314, 1)
(5179, 30, 10, 1, 1293, 1459, 1)
(5182, 40, 15, 3, 449, 451, 0)
(5189, 40, 15, 1, 1293, 1803, 1)
(5194, 20, 8, 2, 7, 1260, 1)
(5196, 30, 10, 1, 1561, 1439, 0)
(5204, 24, 12, 3, 1586, 100, 1)
(5205, 36, 10, 2, 92, 28, 1)
(5213, 36, 15, 1, 105, 810, 1)
(5215, 20, 15, 3, 1809, 1227, 1)
(5218, 36, 15, 4, 1003, 181, 1)
(5220, 36, 12, 3, 153, 852, 1)
(5227, 24, 15, 4, 1043, 1293, 1)
(5228, 36, 12, 2, 607, 1002, 1)
(5239, 20, 12, 4, 796, 665, 1)
(5256, 30, 8, 2, 1543, 1076, 1)
(5257, 20, 12, 1, 1766, 505, 1)
(5258, 24, 8, 2, 658, 1721, 1)
(5270, 24, 15, 1, 96, 1334, 1)
(5276, 30, 15, 1, 678, 1043, 1)
(5282, 24, 12, 1, 1704, 1793, 1)
(5287, 24, 12, 2, 174, 594, 1)
(5289, 30, 8, 2, 1697, 33, 1)
(5292, 30, 8, 4, 1721, 173, 1)
(5293, 36, 12, 4, 1570, 182, 1)
(5319, 36, 12, 2, 698, 234, 0)
(5320, 40, 8, 2, 1949, 540, 1)
(5329, 24, 12, 4, 1831, 1547, 1)
(5331, 40, 10, 4, 1177, 1697, 1)
(5337, 40, 15, 2, 505, 1765, 1)
(5340, 36, 15, 1, 181, 1761, 1)
(5344, 30, 10, 1, 173, 153, 1)
(5349, 20, 15, 2, 224, 1121, 1)
(5354, 20, 12, 2, 1538, 472, 1)
(5358, 20, 10, 4, 1314, 224, 1)
(5360, 40, 12, 1, 1331, 136, 1)
(5367, 40, 15, 3, 1289, 1816, 1)
(5371, 20, 15, 1, 384, 1319, 1)
(5375, 30, 12, 2, 302, 1833, 1)
(5377, 20, 12, 4, 1628, 416, 1)
(5407, 30, 15, 3, 1689, 1953, 1)
(5409, 40, 15, 4, 1456, 363, 1)
(5412, 36, 8, 1, 534, 25, 1)
(5417, 24, 15, 4, 810, 588, 1)
(5432, 20, 8, 3, 1793, 1331, 1)
(5436, 30, 12, 1, 1538, 1543, 1)
(5449, 30, 8, 2, 463, 105, 1)
(5453, 40, 10, 3, 234, 1765, 1)
(5461, 20, 15, 1, 1561, 1541, 1)
(5473, 30, 12, 3, 451, 1227, 1)
(5508, 24, 15, 3, 1545, 713, 1)
(5511, 30, 15, 1, 840, 954, 1)
(5522, 30, 12, 4, 870, 1846, 1)
(5523, 40, 10, 3, 1352, 1991, 1)
(5533, 30, 8, 2, 932, 819, 1)
(5544, 30, 12, 1, 1547, 363, 1)
(5557, 20, 8, 1, 25, 43, 1)
(5560, 40, 8, 4, 472, 1076, 1)
(5564, 36, 12, 1, 175, 1592, 1)
(5579, 20, 10, 3, 1230, 1803, 1)
(5589, 20, 10, 3, 1855, 1495, 1)
(5590, 20, 15, 2, 463, 49, 1)
(5592, 30, 12, 1, 1334, 1070, 1)
(5594, 30, 10, 4, 1638, 932, 1)
(5598, 36, 15, 1, 1495, 1837, 1)
(5603, 20, 8, 4, 1803, 224, 0)
(5612, 40, 15, 4, 182, 1561, 1)
(5618, 30, 12, 1, 942, 1626, 1)
(5624, 40, 12, 1, 1686, 404, 1)
(5627, 20, 12, 4, 1855, 1816, 1)
(5630, 24, 10, 3, 1318, 260, 1)
(5647, 40, 8, 4, 869, 205, 1)
(5649, 36, 12, 1, 251, 840, 1)
(5654, 36, 10, 4, 229, 1697, 1)
(5656, 20, 12, 1, 1539, 1831, 1)
(5657, 24, 10, 3, 1811, 1433, 1)
(5666, 24, 10, 3, 25, 689, 1)
(5669, 36, 15, 2, 224, 759, 1)
(5680, 20, 10, 1, 588, 1833, 1)
(5683, 36, 15, 1, 819, 251, 1)
(5684, 36, 12, 2, 28, 1495, 1)
(5691, 30, 8, 4, 698, 339, 1)
(5694, 30, 12, 3, 416, 337, 1)
(5699, 20, 8, 4, 759, 315, 1)
(5700, 36, 15, 4, 1197, 234, 1)
(5704, 30, 8, 3, 718, 136, 1)
(5706, 40, 8, 1, 1837, 1230, 1)
(5710, 24, 10, 1, 1295, 942, 1)
(5712, 30, 12, 2, 1689, 391, 1)
(5714, 20, 15, 2, 1070, 1876, 1)
(5718, 36, 10, 3, 1809, 105, 1)
(5725, 20, 10, 2, 658, 1299, 1)
(5726, 20, 10, 2, 294, 1054, 1)
(5730, 40, 10, 3, 234, 327, 1)
(5738, 40, 15, 2, 1260, 1687, 1)
(5741, 36, 8, 3, 339, 100, 1)
(5745, 30, 15, 1, 839, 869, 1)
(5754, 20, 10, 2, 416, 1951, 1)
(5761, 40, 10, 4, 1289, 1704, 1)
(5762, 24, 10, 1, 404, 463, 1)
(5778, 20, 8, 2, 1023, 1334, 1)
(5798, 40, 10, 1, 1953, 1556, 1)
(5817, 24, 12, 3, 1539, 1002, 1)
(5825, 40, 8, 3, 689, 1628, 1)
(5828, 40, 12, 1, 100, 384, 1)
(5845, 36, 10, 2, 1803, 1937, 1)
(5857, 24, 15, 4, 1227, 788, 1)
(5859, 30, 8, 2, 665, 1003, 1)
(5860, 36, 15, 3, 500, 1678, 1)
(5870, 40, 15, 4, 449, 1809, 1)
(5871, 36, 8, 1, 1043, 1230, 1)
(5875, 30, 15, 1, 1545, 1217, 1)
(5882, 30, 8, 4, 1229, 43, 1)
(5892, 30, 15, 1, 482, 698, 1)
(5903, 20, 15, 1, 1678, 1538, 1)
(5910, 36, 12, 4, 1570, 1352, 1)
(5911, 40, 15, 2, 788, 302, 1)
(5913, 40, 10, 3, 1314, 1502, 1)
(5928, 30, 8, 3, 43, 391, 1)
(5933, 40, 15, 2, 859, 801, 1)
(5935, 24, 8, 3, 788, 1456, 1)
(5938, 40, 15, 4, 330, 1538, 1)
(5943, 40, 12, 1, 451, 1795, 1)
(5950, 36, 10, 2, 1002, 1547, 0)
(5953, 20, 10, 4, 1273, 251, 1)
(5963, 40, 12, 2, 175, 1186, 1)
(5976, 20, 10, 2, 391, 1315, 1)
(5982, 20, 8, 4, 1687, 229, 0)
(5988, 24, 12, 1, 1338, 1638, 1)
(5996, 30, 10, 3, 689, 1366, 1)
(6000, 30, 10, 2, 1541, 698, 1)
(6009, 36, 8, 3, 1315, 337, 1)
(6011, 30, 10, 1, 49, 1023, 1)
(6014, 36, 12, 4, 363, 1638, 1)
(6016, 20, 8, 2, 1214, 339, 1)
(6022, 36, 12, 1, 1269, 33, 1)
(6040, 36, 15, 3, 1547, 294, 1)
(6047, 20, 15, 2, 1338, 870, 0)
(6051, 36, 12, 4, 1687, 1177, 1)
(6056, 30, 8, 3, 811, 196, 1)
(6072, 40, 15, 2, 1295, 1003, 1)
(6090, 40, 12, 1, 1686, 449, 1)
(6103, 30, 12, 3, 327, 771, 1)
(6120, 36, 12, 1, 196, 618, 1)
(6124, 30, 12, 1, 1991, 954, 1)
(6125, 40, 12, 1, 1765, 771, 1)
(6145, 30, 15, 3, 1626, 1761, 1)
(6149, 30, 15, 1, 1076, 182, 1)
(6160, 30, 15, 3, 517, 451, 1)
(6162, 20, 10, 3, 1446, 1687, 1)
(6176, 20, 10, 2, 1796, 1273, 1)
(6182, 20, 10, 3, 801, 1269, 1)
(6183, 40, 10, 2, 173, 260, 1)
(6187, 20, 8, 4, 1811, 1077, 1)
(6191, 20, 10, 3, 7, 1446, 1)
(6199, 36, 10, 1, 852, 517, 1)
(6201, 40, 8, 1, 153, 1686, 1)
(6217, 20, 8, 2, 1054, 932, 1)
(6225, 24, 8, 3, 1502, 759, 1)
(6238, 30, 8, 1, 534, 1229, 1)
(6244, 24, 15, 1, 996, 1140, 1)
(6254, 36, 15, 2, 472, 796, 1)
(6255, 30, 10, 2, 1846, 819, 1)
(6259, 24, 15, 1, 181, 1214, 1)
(6260, 20, 8, 3, 535, 1289, 1)
(6272, 20, 15, 2, 607, 205, 1)
(6274, 24, 8, 2, 839, 607, 1)
(6276, 20, 8, 3, 1556, 92, 1)
(6284, 40, 15, 4, 1121, 942, 1)
(6296, 24, 12, 1, 49, 96, 1)
(6297, 40, 10, 3, 1269, 1140, 1)
(6303, 36, 15, 1, 1816, 1837, 1)
(6313, 20, 10, 4, 1937, 1121, 1)
(6329, 40, 12, 3, 1299, 1318, 1)
(6332, 20, 8, 4, 1795, 1831, 1)
(6335, 40, 10, 1, 1121, 315, 1)
(6340, 24, 8, 2, 517, 1077, 1)
(6357, 20, 15, 2, 1217, 330, 1)
(6358, 40, 10, 3, 105, 96, 1)
(6371, 20, 8, 4, 205, 713, 1)
(6376, 40, 15, 2, 92, 1855, 1)
(6384, 30, 10, 2, 1352, 1561, 1)
(6391, 24, 8, 2, 665, 1767, 1)
(6394, 24, 10, 1, 1197, 505, 1)
(6410, 36, 10, 1, 954, 1766, 1)
(6416, 40, 8, 4, 859, 1177, 1)
(6426, 40, 15, 3, 96, 588, 0)
(6433, 30, 12, 1, 1140, 1949, 1)
(6471, 30, 15, 1, 1217, 983, 1)
(6473, 24, 8, 3, 1704, 1957, 1)
(6481, 40, 8, 4, 870, 1796, 1)
(6482, 20, 8, 2, 713, 1678, 1)
(6485, 30, 10, 4, 1186, 517, 0)
(6488, 24, 12, 2, 28, 678, 1)
(6498, 20, 8, 2, 810, 302, 1)
(6511, 36, 8, 3, 1439, 1766, 1)
(6519, 30, 10, 4, 1833, 1876, 1)
