#(id,from,to,speed,planTime)
(10000, 19, 59, 6, 3)
(10001, 58, 17, 4, 9)
(10002, 30, 63, 2, 7)
(10003, 23, 57, 2, 1)
(10004, 38, 5, 4, 4)
(10005, 12, 52, 2, 2)
(10006, 63, 2, 6, 3)
(10007, 16, 56, 8, 4)
(10008, 56, 1, 6, 4)
(10009, 55, 12, 4, 1)
(10010, 51, 15, 4, 8)
(10011, 20, 58, 2, 10)
(10012, 13, 51, 8, 8)
(10013, 57, 5, 8, 7)
(10014, 26, 58, 8, 7)
(10015, 2, 36, 8, 5)
(10016, 15, 56, 8, 9)
(10017, 15, 60, 2, 5)
(10018, 62, 7, 2, 4)
(10019, 19, 54, 6, 7)
(10020, 24, 57, 8, 6)
(10021, 61, 26, 4, 4)
(10022, 14, 64, 2, 10)
(10023, 64, 15, 8, 8)
(10024, 25, 58, 4, 6)
(10025, 63, 27, 4, 6)
(10026, 48, 13, 4, 9)
(10027, 13, 62, 8, 3)
(10028, 29, 63, 6, 8)
(10029, 2, 58, 2, 2)
(10030, 25, 60, 2, 1)
(10031, 24, 61, 4, 9)
(10032, 8, 44, 4, 8)
(10033, 6, 52, 2, 7)
(10034, 59, 16, 6, 4)
(10035, 51, 7, 2, 4)
(10036, 31, 63, 2, 10)
(10037, 17, 64, 4, 7)
(10038, 12, 55, 4, 3)
(10039, 52, 16, 6, 9)
(10040, 8, 55, 8, 3)
(10041, 26, 61, 8, 6)
(10042, 14, 57, 2, 3)
(10043, 27, 60, 4, 3)
(10044, 2, 59, 2, 10)
(10045, 56, 6, 8, 3)
(10046, 43, 6, 2, 7)
(10047, 1, 37, 8, 7)
(10048, 32, 64, 8, 2)
(10049, 42, 1, 2, 6)
(10050, 20, 60, 6, 4)
(10051, 31, 64, 8, 7)
(10052, 59, 15, 6, 6)
(10053, 19, 62, 4, 1)
(10054, 19, 52, 2, 9)
(10055, 51, 17, 6, 4)
(10056, 23, 55, 2, 7)
(10057, 64, 11, 4, 6)
(10058, 62, 5, 2, 3)
(10059, 61, 12, 8, 7)
(10060, 14, 46, 6, 3)
(10061, 47, 14, 6, 5)
(10062, 6, 50, 6, 6)
(10063, 8, 46, 8, 2)
(10064, 4, 43, 8, 3)
(10065, 12, 59, 4, 4)
(10066, 20, 55, 4, 1)
(10067, 6, 57, 6, 10)
(10068, 39, 5, 4, 6)
(10069, 61, 20, 2, 1)
(10070, 9, 60, 8, 8)
(10071, 11, 56, 2, 9)
(10072, 3, 57, 4, 10)
(10073, 25, 57, 4, 3)
(10074, 4, 58, 6, 1)
(10075, 12, 44, 8, 6)
(10076, 56, 19, 8, 4)
(10077, 26, 58, 6, 6)
(10078, 52, 11, 8, 9)
(10079, 45, 10, 4, 2)
(10080, 31, 64, 6, 10)
