#(id,length,speed,channel,from,to,isDuplex)
(5000, 12, 4, 4, 1, 2, 1)
(5001, 18, 8, 5, 2, 3, 1)
(5002, 20, 4, 1, 3, 4, 1)
(5003, 20, 4, 2, 4, 5, 1)
(5004, 15, 8, 1, 5, 6, 1)
(5005, 18, 8, 1, 6, 7, 1)
(5006, 12, 8, 2, 7, 8, 1)
(5007, 12, 6, 2, 1, 9, 1)
(5008, 20, 4, 5, 2, 10, 1)
(5009, 12, 8, 3, 3, 11, 1)
(5010, 18, 4, 2, 4, 12, 1)
(5011, 12, 4, 1, 5, 13, 1)
(5012, 15, 8, 5, 6, 14, 1)
(5013, 18, 8, 1, 7, 15, 1)
(5014, 18, 4, 2, 8, 16, 1)
(5015, 10, 8, 4, 9, 10, 1)
(5016, 12, 4, 4, 10, 11, 1)
(5017, 18, 6, 1, 11, 12, 0)
(5018, 15, 4, 4, 12, 13, 1)
(5019, 12, 4, 3, 13, 14, 1)
(5020, 10, 6, 2, 14, 15, 1)
(5021, 15, 8, 4, 15, 16, 1)
(5022, 12, 8, 4, 9, 17, 1)
(5023, 20, 4, 2, 10, 18, 1)
(5024, 18, 8, 3, 11, 19, 1)
(5025, 20, 4, 1, 12, 20, 1)
(5026, 15, 6, 1, 13, 21, 0)
(5027, 18, 8, 1, 14, 22, 1)
(5028, 18, 8, 3, 15, 23, 1)
(5029, 15, 6, 2, 16, 24, 1)
(5030, 10, 4, 3, 17, 18, 1)
(5031, 12, 4, 5, 19, 20, 1)
(5032, 15, 4, 4, 20, 21, 1)
(5033, 20, 8, 5, 21, 22, 1)
(5034, 10, 8, 2, 23, 24, 1)
(5035, 18, 6, 2, 17, 25, 1)
(5036, 20, 4, 3, 18, 26, 0)
(5037, 10, 8, 5, 19, 27, 1)
(5038, 20, 6, 1, 20, 28, 1)
(5039, 12, 4, 3, 22, 30, 1)
(5040, 15, 6, 2, 24, 32, 1)
(5041, 12, 8, 4, 25, 26, 1)
(5042, 18, 4, 4, 26, 27, 1)
(5043, 20, 4, 1, 27, 28, 0)
(5044, 15, 4, 1, 28, 29, 1)
(5045, 12, 6, 4, 29, 30, 1)
(5046, 10, 4, 2, 30, 31, 1)
(5047, 18, 6, 2, 31, 32, 1)
(5048, 12, 8, 1, 25, 33, 1)
(5049, 18, 8, 2, 26, 34, 1)
(5050, 18, 8, 3, 27, 35, 1)
(5051, 10, 6, 3, 28, 36, 1)
(5052, 15, 8, 3, 29, 37, 1)
(5053, 18, 8, 4, 30, 38, 0)
(5054, 20, 8, 5, 31, 39, 1)
(5055, 15, 8, 4, 32, 40, 1)
(5056, 18, 4, 5, 33, 34, 1)
(5057, 20, 8, 3, 34, 35, 1)
(5058, 12, 6, 1, 36, 37, 1)
(5059, 18, 8, 4, 37, 38, 1)
(5060, 20, 8, 4, 38, 39, 1)
(5061, 20, 6, 2, 39, 40, 1)
(5062, 18, 6, 5, 33, 41, 1)
(5063, 20, 6, 3, 34, 42, 1)
(5064, 12, 8, 4, 35, 43, 1)
(5065, 12, 8, 3, 36, 44, 1)
(5066, 18, 6, 5, 37, 45, 1)
(5067, 20, 8, 2, 38, 46, 1)
(5068, 15, 6, 2, 39, 47, 1)
(5069, 10, 4, 3, 40, 48, 1)
(5070, 12, 8, 1, 41, 42, 1)
(5071, 12, 4, 5, 42, 43, 1)
(5072, 10, 8, 3, 43, 44, 1)
(5073, 12, 4, 5, 44, 45, 1)
(5074, 15, 8, 4, 45, 46, 0)
(5075, 10, 4, 2, 46, 47, 1)
(5076, 18, 8, 5, 47, 48, 1)
(5077, 15, 6, 3, 41, 49, 1)
(5078, 10, 8, 1, 42, 50, 1)
(5079, 10, 4, 4, 43, 51, 1)
(5080, 10, 8, 2, 44, 52, 0)
(5081, 10, 8, 2, 45, 53, 1)
(5082, 18, 8, 2, 46, 54, 1)
(5083, 10, 6, 1, 48, 56, 1)
(5084, 15, 8, 4, 49, 50, 1)
(5085, 15, 8, 5, 50, 51, 0)
(5086, 10, 4, 2, 51, 52, 1)
(5087, 10, 4, 1, 52, 53, 1)
(5088, 10, 4, 4, 54, 55, 1)
(5089, 18, 8, 5, 55, 56, 1)
(5090, 15, 6, 1, 49, 57, 1)
(5091, 18, 8, 4, 50, 58, 1)
(5092, 15, 8, 1, 51, 59, 1)
(5093, 20, 6, 1, 52, 60, 1)
(5094, 10, 4, 3, 53, 61, 1)
(5095, 18, 8, 2, 54, 62, 1)
(5096, 12, 8, 3, 55, 63, 1)
(5097, 15, 8, 1, 56, 64, 1)
(5098, 18, 4, 2, 57, 58, 1)
(5099, 18, 8, 3, 58, 59, 1)
(5100, 15, 8, 3, 59, 60, 1)
(5101, 15, 6, 1, 60, 61, 1)
(5102, 10, 4, 5, 61, 62, 1)
(5103, 12, 8, 5, 62, 63, 1)
(5104, 20, 6, 5, 63, 64, 1)
