#(id,from,to,speed,planTime)
(10000, 18, 50, 8, 3)
(10001, 51, 3, 8, 4)
(10002, 24, 64, 6, 4)
(10003, 6, 50, 2, 5)
(10004, 20, 62, 2, 7)
(10005, 38, 4, 8, 6)
(10006, 37, 4, 8, 2)
(10007, 55, 16, 2, 6)
(10008, 23, 63, 8, 7)
(10009, 36, 2, 2, 7)
(10010, 59, 7, 8, 4)
(10011, 19, 63, 6, 6)
(10012, 37, 3, 6, 5)
(10013, 23, 57, 8, 2)
(10014, 17, 53, 2, 4)
(10015, 57, 25, 2, 3)
(10016, 18, 53, 2, 5)
(10017, 47, 2, 8, 7)
(10018, 6, 47, 8, 1)
(10019, 33, 1, 4, 6)
(10020, 2, 58, 2, 7)
(10021, 31, 64, 2, 3)
(10022, 8, 63, 6, 7)
(10023, 1, 42, 8, 10)
(10024, 29, 61, 8, 7)
(10025, 53, 1, 8, 9)
(10026, 3, 35, 8, 4)
(10027, 7, 46, 6, 8)
(10028, 34, 1, 2, 8)
(10029, 21, 62, 6, 4)
(10030, 36, 3, 4, 7)
(10031, 1, 61, 4, 1)
(10032, 19, 57, 8, 2)
(10033, 53, 1, 4, 2)
(10034, 52, 10, 8, 8)
(10035, 37, 3, 6, 3)
(10036, 59, 12, 8, 4)
(10037, 14, 49, 8, 4)
(10038, 4, 41, 8, 2)
(10039, 40, 2, 6, 2)
(10040, 63, 27, 8, 5)
(10041, 26, 63, 2, 3)
(10042, 45, 4, 4, 6)
(10043, 23, 55, 8, 9)
(10044, 32, 64, 4, 8)
(10045, 56, 20, 2, 2)
(10046, 52, 5, 2, 8)
(10047, 61, 14, 2, 7)
(10048, 47, 4, 8, 7)
(10049, 51, 7, 6, 2)
(10050, 5, 48, 2, 10)
(10051, 62, 26, 8, 7)
(10052, 18, 59, 4, 9)
(10053, 41, 6, 8, 5)
(10054, 34, 2, 8, 7)
(10055, 13, 47, 6, 6)
(10056, 12, 54, 2, 10)
(10057, 8, 45, 4, 1)
(10058, 58, 17, 2, 1)
(10059, 39, 1, 2, 6)
(10060, 47, 8, 4, 2)
(10061, 35, 1, 6, 7)
(10062, 35, 1, 6, 4)
(10063, 46, 4, 2, 2)
(10064, 53, 16, 8, 10)
(10065, 9, 49, 8, 3)
(10066, 42, 9, 6, 4)
(10067, 17, 57, 8, 5)
(10068, 29, 64, 2, 1)
(10069, 36, 1, 8, 8)
(10070, 63, 22, 4, 9)
(10071, 44, 4, 2, 9)
(10072, 44, 5, 6, 6)
(10073, 55, 11, 2, 3)
(10074, 29, 64, 8, 8)
(10075, 49, 4, 2, 3)
(10076, 44, 4, 8, 5)
(10077, 27, 62, 2, 3)
(10078, 17, 63, 6, 3)
(10079, 44, 8, 2, 2)
(10080, 49, 17, 6, 6)
(10081, 28, 61, 2, 10)
(10082, 18, 58, 8, 1)
(10083, 27, 62, 2, 5)
(10084, 25, 60, 8, 2)
(10085, 38, 2, 6, 2)
(10086, 57, 13, 8, 10)
(10087, 26, 64, 4, 3)
(10088, 22, 56, 8, 1)
(10089, 41, 9, 2, 5)
(10090, 19, 60, 6, 7)
(10091, 22, 64, 6, 6)
(10092, 7, 41, 2, 3)
(10093, 20, 63, 8, 10)
(10094, 25, 59, 4, 10)
(10095, 41, 1, 4, 3)
(10096, 59, 5, 2, 3)
(10097, 42, 7, 8, 5)
(10098, 16, 60, 6, 2)
(10099, 9, 42, 6, 2)
(10100, 47, 1, 6, 6)
(10101, 55, 18, 8, 5)
(10102, 55, 19, 4, 1)
(10103, 6, 40, 6, 8)
(10104, 1, 49, 2, 2)
(10105, 44, 3, 2, 10)
(10106, 24, 61, 6, 7)
(10107, 35, 1, 2, 5)
(10108, 26, 61, 2, 9)
(10109, 31, 64, 4, 8)
(10110, 62, 2, 2, 3)
(10111, 55, 11, 4, 3)
(10112, 60, 19, 8, 6)
(10113, 35, 1, 2, 6)
(10114, 31, 63, 4, 2)
(10115, 10, 50, 6, 2)
(10116, 48, 7, 8, 8)
(10117, 62, 21, 8, 8)
(10118, 63, 22, 2, 6)
(10119, 35, 3, 2, 6)
(10120, 47, 7, 8, 2)
(10121, 20, 64, 8, 3)
(10122, 60, 1, 4, 2)
(10123, 20, 54, 2, 4)
(10124, 40, 2, 2, 3)
(10125, 20, 59, 8, 3)
(10126, 42, 10, 4, 8)
(10127, 5, 50, 4, 4)
(10128, 18, 63, 6, 7)
(10129, 29, 64, 2, 1)
(10130, 19, 64, 4, 5)
(10131, 45, 11, 2, 10)
(10132, 12, 60, 8, 2)
(10133, 39, 6, 4, 10)
(10134, 9, 49, 6, 2)
(10135, 20, 61, 4, 6)
(10136, 7, 42, 2, 9)
(10137, 23, 57, 4, 10)
(10138, 14, 46, 6, 10)
(10139, 41, 6, 4, 9)
(10140, 46, 9, 8, 2)
(10141, 17, 59, 6, 8)
(10142, 1, 57, 4, 7)
(10143, 56, 4, 8, 3)
(10144, 15, 63, 4, 9)
(10145, 60, 28, 6, 6)
(10146, 36, 1, 4, 6)
(10147, 20, 55, 8, 8)
(10148, 4, 36, 6, 2)
(10149, 48, 11, 4, 8)
(10150, 36, 4, 8, 3)
(10151, 18, 57, 8, 2)
(10152, 7, 51, 6, 4)
(10153, 20, 62, 4, 2)
(10154, 3, 39, 2, 5)
(10155, 2, 53, 4, 9)
(10156, 41, 5, 6, 5)
(10157, 3, 35, 6, 9)
(10158, 51, 7, 8, 9)
(10159, 49, 8, 6, 6)
(10160, 14, 58, 4, 4)
(10161, 3, 45, 2, 5)
(10162, 24, 64, 6, 9)
(10163, 59, 18, 4, 1)
(10164, 34, 1, 8, 5)
(10165, 35, 2, 8, 7)
(10166, 64, 4, 2, 4)
(10167, 14, 49, 8, 2)
(10168, 30, 64, 8, 10)
(10169, 55, 13, 6, 4)
(10170, 37, 2, 8, 10)
(10171, 13, 48, 4, 2)
(10172, 17, 52, 8, 5)
(10173, 14, 49, 8, 3)
(10174, 43, 9, 8, 5)
(10175, 19, 60, 2, 8)
(10176, 52, 18, 8, 10)
(10177, 1, 64, 2, 4)
(10178, 7, 39, 2, 5)
(10179, 38, 3, 6, 8)
(10180, 33, 1, 4, 8)
(10181, 61, 9, 6, 4)
(10182, 49, 4, 8, 9)
(10183, 15, 54, 4, 10)
(10184, 53, 1, 6, 3)
(10185, 18, 50, 6, 6)
(10186, 30, 64, 6, 5)
(10187, 12, 53, 8, 6)
(10188, 1, 51, 4, 1)
(10189, 28, 63, 4, 8)
(10190, 20, 56, 8, 10)
(10191, 31, 64, 8, 6)
(10192, 52, 12, 6, 1)
(10193, 39, 6, 6, 2)
(10194, 9, 64, 2, 2)
(10195, 58, 17, 4, 9)
(10196, 23, 56, 2, 2)
(10197, 26, 62, 6, 8)
(10198, 30, 64, 4, 6)
(10199, 3, 36, 8, 1)
(10200, 44, 6, 8, 2)
