#(id,length,speed,channel,from,to,isDuplex)
(5000, 15, 6, 2, 1, 2, 1)
(5001, 18, 4, 2, 2, 3, 1)
(5002, 20, 6, 1, 3, 4, 1)
(5003, 18, 8, 2, 4, 5, 1)
(5004, 18, 4, 1, 5, 6, 1)
(5005, 18, 8, 3, 6, 7, 1)
(5006, 12, 6, 2, 7, 8, 1)
(5007, 20, 8, 4, 1, 9, 1)
(5008, 12, 6, 4, 2, 10, 1)
(5009, 20, 4, 4, 3, 11, 1)
(5010, 10, 4, 5, 4, 12, 1)
(5011, 20, 6, 4, 5, 13, 1)
(5012, 20, 6, 1, 6, 14, 1)
(5013, 15, 8, 5, 7, 15, 1)
(5014, 15, 8, 4, 8, 16, 1)
(5015, 15, 8, 2, 9, 10, 1)
(5016, 20, 4, 3, 10, 11, 1)
(5017, 10, 6, 5, 11, 12, 0)
(5018, 10, 4, 2, 12, 13, 1)
(5019, 10, 4, 5, 13, 14, 1)
(5020, 12, 4, 2, 14, 15, 1)
(5021, 10, 6, 2, 15, 16, 1)
(5022, 20, 6, 1, 9, 17, 1)
(5023, 18, 4, 1, 10, 18, 1)
(5024, 15, 8, 2, 11, 19, 1)
(5025, 10, 6, 5, 12, 20, 1)
(5026, 18, 6, 1, 13, 21, 0)
(5027, 15, 6, 4, 14, 22, 1)
(5028, 20, 4, 3, 15, 23, 1)
(5029, 20, 4, 3, 16, 24, 1)
(5030, 10, 6, 2, 17, 18, 1)
(5031, 18, 6, 2, 19, 20, 1)
(5032, 20, 8, 5, 20, 21, 1)
(5033, 18, 8, 4, 21, 22, 1)
(5034, 18, 8, 2, 23, 24, 1)
(5035, 18, 8, 3, 17, 25, 1)
(5036, 12, 6, 2, 18, 26, 0)
(5037, 20, 4, 2, 19, 27, 1)
(5038, 20, 4, 3, 20, 28, 1)
(5039, 18, 8, 3, 22, 30, 1)
(5040, 15, 6, 4, 24, 32, 1)
(5041, 12, 8, 1, 25, 26, 1)
(5042, 12, 4, 5, 26, 27, 1)
(5043, 10, 8, 3, 27, 28, 0)
(5044, 20, 6, 5, 28, 29, 1)
(5045, 10, 6, 5, 29, 30, 1)
(5046, 12, 4, 1, 30, 31, 1)
(5047, 18, 8, 5, 31, 32, 1)
(5048, 18, 4, 5, 25, 33, 1)
(5049, 15, 6, 5, 26, 34, 1)
(5050, 15, 6, 1, 27, 35, 1)
(5051, 18, 8, 3, 28, 36, 1)
(5052, 18, 4, 1, 29, 37, 1)
(5053, 12, 8, 3, 30, 38, 0)
(5054, 15, 6, 3, 31, 39, 1)
(5055, 12, 8, 1, 32, 40, 1)
(5056, 12, 4, 2, 33, 34, 1)
(5057, 18, 4, 4, 34, 35, 1)
(5058, 10, 4, 4, 36, 37, 1)
(5059, 20, 8, 5, 37, 38, 1)
(5060, 10, 6, 1, 38, 39, 1)
(5061, 18, 8, 2, 39, 40, 1)
(5062, 12, 8, 4, 33, 41, 1)
(5063, 10, 6, 1, 34, 42, 1)
(5064, 20, 8, 4, 35, 43, 1)
(5065, 15, 6, 4, 36, 44, 1)
(5066, 12, 8, 4, 37, 45, 1)
(5067, 10, 4, 5, 38, 46, 1)
(5068, 20, 4, 5, 39, 47, 1)
(5069, 18, 4, 2, 40, 48, 1)
(5070, 12, 4, 4, 41, 42, 1)
(5071, 15, 8, 5, 42, 43, 1)
(5072, 15, 8, 5, 43, 44, 1)
(5073, 18, 8, 4, 44, 45, 1)
(5074, 10, 8, 3, 45, 46, 0)
(5075, 20, 6, 1, 46, 47, 1)
(5076, 15, 6, 1, 47, 48, 1)
(5077, 12, 8, 1, 41, 49, 1)
(5078, 18, 8, 2, 42, 50, 1)
(5079, 20, 8, 1, 43, 51, 1)
(5080, 10, 4, 3, 44, 52, 0)
(5081, 18, 6, 3, 45, 53, 1)
(5082, 10, 6, 1, 46, 54, 1)
(5083, 20, 6, 3, 48, 56, 1)
(5084, 20, 8, 4, 49, 50, 1)
(5085, 10, 8, 1, 50, 51, 0)
(5086, 20, 6, 1, 51, 52, 1)
(5087, 12, 6, 1, 52, 53, 1)
(5088, 15, 8, 3, 54, 55, 1)
(5089, 12, 8, 5, 55, 56, 1)
(5090, 10, 4, 3, 49, 57, 1)
(5091, 12, 6, 3, 50, 58, 1)
(5092, 12, 6, 5, 51, 59, 1)
(5093, 18, 8, 3, 52, 60, 1)
(5094, 18, 6, 2, 53, 61, 1)
(5095, 20, 6, 4, 54, 62, 1)
(5096, 10, 4, 3, 55, 63, 1)
(5097, 10, 6, 1, 56, 64, 1)
(5098, 15, 6, 1, 57, 58, 1)
(5099, 15, 8, 5, 58, 59, 1)
(5100, 12, 6, 3, 59, 60, 1)
(5101, 20, 4, 3, 60, 61, 1)
(5102, 10, 6, 4, 61, 62, 1)
(5103, 10, 6, 3, 62, 63, 1)
(5104, 18, 6, 5, 63, 64, 1)
