#(id,from,to,speed,planTime)
(24370, 426, 1809, 10, 25)
(86812, 1697, 1855, 12, 1)
(23355, 1080, 1834, 8, 27)
(92713, 964, 1106, 14, 3)
(23315, 1676, 1613, 4, 29)
(63794, 1228, 1896, 10, 18)
(44541, 687, 426, 8, 3)
(21367, 1198, 834, 14, 5)
(89492, 1611, 781, 4, 21)
(49254, 433, 834, 12, 18)
(46264, 1195, 1613, 8, 29)
(45951, 320, 1285, 8, 22)
(19655, 541, 1432, 14, 15)
(28262, 1198, 1602, 14, 15)
(58503, 1465, 1197, 14, 26)
(60058, 493, 1567, 4, 24)
(20609, 1825, 1590, 8, 13)
(25686, 1082, 1432, 12, 2)
(106020, 1198, 1601, 4, 18)
(52699, 1503, 313, 16, 3)
(40834, 1087, 395, 6, 12)
(71637, 1611, 834, 12, 9)
(73409, 1087, 395, 6, 4)
(33091, 1361, 1834, 6, 18)
(34359, 635, 1834, 4, 12)
(33255, 123, 1671, 4, 13)
(35739, 581, 320, 10, 25)
(88307, 831, 1834, 14, 18)
(84749, 839, 1613, 12, 25)
(16105, 1432, 1082, 10, 14)
(69590, 720, 1697, 6, 5)
(55951, 1601, 1198, 12, 12)
(22599, 581, 281, 8, 23)
(85271, 1590, 1463, 16, 28)
(14516, 1563, 1590, 6, 9)
(90993, 499, 426, 8, 27)
(104169, 1825, 1590, 4, 16)
(88334, 894, 1503, 16, 22)
(58507, 426, 834, 16, 2)
(109994, 1834, 902, 10, 29)
(44326, 444, 1623, 14, 19)
(47054, 1563, 1724, 8, 21)
(56897, 771, 834, 8, 5)
(21236, 1624, 1982, 14, 17)
(90288, 433, 1601, 16, 12)
(97561, 720, 1129, 10, 15)
(55198, 1019, 926, 16, 4)
(61232, 1580, 1896, 6, 16)
(87404, 1608, 834, 6, 16)
(56698, 1080, 1432, 4, 28)
(47094, 1934, 281, 4, 14)
(77688, 964, 1106, 16, 19)
(95873, 1138, 320, 10, 15)
(33652, 1152, 1934, 4, 8)
(101046, 1531, 1697, 8, 6)
(44296, 250, 1305, 16, 9)
(15529, 1192, 1503, 4, 9)
(85255, 501, 926, 14, 8)
(59122, 491, 1085, 8, 27)
(59329, 281, 1705, 8, 21)
(78458, 913, 977, 4, 7)
(76492, 493, 1563, 16, 28)
(47989, 1423, 1087, 16, 10)
(68584, 491, 1590, 10, 4)
(53851, 1608, 834, 12, 1)
(35214, 253, 1855, 14, 13)
