#(id,roadId,roadId,roadId,roadId)
(11, -1, 5850, 6611, 6670)
(51, 5267, 6434, 6888, -1)
(123, 6474, -1, 5642, 6774)
(129, 5925, 5127, 5341, 5466)
(138, 6833, 5506, 5615, -1)
(167, 6666, 6951, 6970, 5838)
(189, -1, 5476, 5752, 5197)
(201, 5100, 6475, 5903, 5782)
(211, 5022, -1, 5384, 6899)
(250, 5021, 6219, 5893, 5857)
(253, 6556, 6669, 5838, 6239)
(280, 5735, 6436, 5692, 5573)
(281, 5710, -1, 6885, 6914)
(297, 6850, 6905, 6341, -1)
(300, -1, 6057, 5874, 6833)
(312, 5953, 5104, 6630, 6638)
(313, 6057, -1, 5533, 6142)
(320, 6480, 6342, 6450, 6030)
(324, 6516, 5857, 6160, 6414)
(349, 6616, 5611, 6142, 5476)
(389, 6687, 6331, 5506, -1)
(395, 5879, 5190, 5347, 6913)
(412, 6219, 5825, 6774, -1)
(426, 5659, 6385, 6222, -1)
(427, -1, 5910, 6030, 6868)
(433, -1, 6317, 6108, 6177)
(442, 6868, 6723, 6906, -1)
(444, 5795, 6414, 6044, 6768)
(491, 5022, 6611, 5437, -1)
(493, -1, 6342, 6957, 5073)
(499, 6044, 6273, 5806, 6300)
(501, 5280, 5209, 5057, 5981)
(537, 5891, 5013, 5123, -1)
(541, 6885, 6793, 5602, -1)
(552, -1, 6782, 5722, 6305)
(554, 6949, 5384, -1, 6507)
(581, 6782, -1, 5168, 6208)
(587, 6513, 5885, 5863, 5585)
(617, 6853, -1, 5912, 6944)
(622, 6144, 5221, 6906, 5057)
(635, 6800, -1, 6238, 5808)
(661, 5101, 6126, 6377, 6727)
(667, 5102, 6694, 5341, -1)
(687, 5806, -1, 6424, 6560)
(720, 5453, 6136, 5922, 6895)
(745, 6974, 6204, 5734, 6949)
(766, -1, 6560, 5735, 6355)
(771, -1, 5808, 5777, 5716)
(773, 5879, 6097, -1, 5097)
(775, 6970, -1, 5056, -1)
(781, 6080, -1, 6910, 5113)
(795, 5300, 6452, 6143, 5893)
(829, 6756, -1, 6355, 5923)
(831, 5021, 6008, 6513, 6620)
(834, 5165, -1, -1, 6366)
(835, 5873, 6613, 6204, 6666)
(839, 6877, 6822, 5205, 6144)
(852, -1, 5679, 5381, 6485)
(863, 6090, 5832, -1, 5615)
(870, 5412, 5205, 6800, 6853)
(894, -1, 5490, -1, 5115)
(902, 6748, 5620, 6675, -1)
(913, 5280, 6914, 5130, 5863)
(926, -1, 6728, 5013, 6335)
(964, -1, 6305, 5752, 5533)
(965, -1, -1, 6416, 5953)
(977, 5070, 5197, 5722, 6478)
(980, 5326, 6434, 5100, -1)
(998, 5679, -1, 5636, 6751)
(1019, 5574, 6283, 5629, -1)
(1058, -1, -1, 5397, 5173)
(1072, 6867, -1, 6493, 5350)
(1080, 5981, 6723, 6450, 5710)
(1082, 5807, -1, 5653, 5910)
(1085, -1, 5807, 6341, 6656)
(1087, 5099, -1, 6080, 5922)
(1106, -1, 5381, 5413, 5130)
(1109, -1, 6008, 6516, 5618)
(1129, 6904, 5925, 6385, 5055)
(1138, -1, 5103, 6187, 5168)
(1152, 6675, 6957, 6065, -1)
(1180, 5756, 5979, -1, 5832)
(1186, 5587, 6727, 6916, 6944)
(1192, -1, 6319, 5326, 6756)
(1195, -1, 6065, 6480, 5653)
(1197, 6359, 6694, 5385, -1)
(1198, -1, 5686, 6913, 6177)
(1217, 6143, -1, 6273, 6160)
(1228, 5716, 5903, -1, 6486)
(1238, 5555, -1, 5702, 5055)
(1242, 5385, 5696, 6507, -1)
(1258, 5453, 6449, 6416, 6452)
(1285, 5173, 6478, 6208, 6384)
(1298, 6899, 5734, 6171, 6670)
(1305, 5177, -1, 6097, 5686)
(1361, 5618, 5795, -1, 6822)
(1368, 5897, 5587, 5311, 5277)
(1390, 5696, 5102, 6951, 6974)
(1423, 5060, 6108, 5056, 5127)
(1432, 5437, 6761, 5891, -1)
(1463, 5573, 6616, 5490, 5923)
(1465, 5611, 5692, -1, 5874)
(1492, 5209, 5885, -1, 6877)
(1503, 6485, 5602, 5574, -1)
(1508, 5277, 6239, -1, 6317)
(1521, 6751, 6538, 5585, 5413)
(1531, 6436, 6424, 6638, 6687)
(1537, 6300, -1, -1, 6442)
(1563, 5850, 6989, 6335, 6761)
(1567, -1, 6183, -1, 5790)
(1580, 5347, 5101, 5897, -1)
(1590, -1, -1, 5629, 6748)
(1601, 6987, -1, 5756, 5181)
(1602, -1, 5255, 6136, 5300)
(1608, 6486, 6556, 5311, 5912)
(1611, 6126, 5190, 6792, 6905)
(1613, 5123, 6790, 6746, -1)
(1623, -1, 5555, 5659, -1)
(1624, 5099, 5255, 5642, -1)
(1655, 5636, -1, 6474, 5380)
(1667, 6090, 6331, 6630, 5181)
(1671, 6236, 5702, -1, 5177)
(1676, 6377, 6850, -1, 6674)
(1696, 6421, 6329, 6475, 5267)
(1697, -1, 6222, 5466, 6359)
(1705, 6728, 6384, 6187, 6790)
(1724, 5620, 6283, 6793, 5073)
(1739, 6329, 5873, 6669, -1)
(1754, 6538, 5380, 5825, 6620)
(1809, 5104, 6449, 6316, 6987)
(1825, 6985, -1, 5782, 5777)
(1834, 5103, -1, -1, 6746)
(1855, 5350, 6910, -1, 5165)
(1861, 6674, 5221, 5412, 6916)
(1896, 6366, -1, 5979, 6867)
(1909, 5113, 6493, 6316, 6895)
(1914, 6613, 6421, 6183, 6171)
(1929, 6656, 6792, 5097, -1)
(1934, 6989, 5790, 5962, -1)
(1940, 5397, 5261, 5115, 5070)
(1944, 5962, 6888, 6319, 5261)
(1982, 6904, 6236, -1, 5060)
(1984, 6238, 6768, 6442, 6985)
